YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,UNWEIGHTED ILI,WEIGHTED ILI
2017,40,3841,4558,2491,X,1071,872,12833,1003363,2216,1.279,1.27028
2017,41,4116,4458,2685,X,1075,950,13284,998498,2243,1.3304,1.30782
2017,42,4411,5004,2820,X,1142,976,14353,1018686,2263,1.40897,1.34527
2017,43,5007,5527,2923,X,1324,1051,15832,1007582,2260,1.57129,1.52157
2017,44,5217,6121,3299,X,1365,1062,17064,1002899,2216,1.70147,1.75021
2017,45,6094,6628,3584,X,1514,1114,18934,1020638,2275,1.85511,1.88776
2017,46,6852,7532,4216,X,1787,1360,21747,1055142,2284,2.06105,2.05917
2017,47,6907,5858,3815,X,1688,1421,19689,847699,2259,2.32264,2.28919
2017,48,6986,7417,5225,X,2206,1827,23661,1055995,2260,2.24064,2.28542
2017,49,7194,8420,5008,X,2318,1839,24779,998587,2252,2.48141,2.59075
2017,50,8267,11210,6633,X,2940,2320,31370,982600,2243,3.19255,3.3675
2017,51,10381,14056,9793,X,4563,3711,42504,960427,2178,4.42553,4.76975
2017,52,11182,11371,11360,X,5628,4992,44533,823875,2097,5.40531,5.69039
2018,1,9341,11623,13324,X,6829,5836,46953,877621,2198,5.35003,5.7804
2018,2,9976,17213,15344,X,7730,6059,56322,1017731,2205,5.53408,5.96478
2018,3,11795,21408,15897,X,7497,5495,62092,981618,2229,6.32547,6.53929
2018,4,13075,29753,18118,X,8814,5982,75742,1079394,2203,7.01709,7.1566
2018,5,14418,35615,18571,X,8589,5817,83010,1060456,2129,7.82776,7.45206
2018,6,14024,34952,18107,X,7955,5474,80512,1006528,1957,7.99898,7.51091
