"","X","lat","lng","States"
"1",1,38.984652,-77.0947092,"Maryland"
"2",2,52.475399,-113.7173037,"Alberta"
"3",3,48.4241961,-121.7114362,"Washington"
"4",4,39.3331197,-82.9824019,"Ohio"
"5",5,32.735687,-97.1080656,"Texas"
"6",6,32.7516226,-97.330049,"Texas"
"7",7,42.0307812,-93.6319131,"Iowa"
"8",8,32.7157305,-117.1610966,"California"
"9",9,53.5700247,-113.5975533,"Alberta"
"10",10,39.6847822,-83.9296526,"Ohio"
"11",11,37.2089572,-93.2922989,"Missouri"
"12",12,38.9085472,-77.2405153,"Virginia"
"13",13,45.253783,-69.4454689,"Maine"
"14",14,35.7795897,-78.6381787,"North Carolina"
"15",15,38.9071923,-77.0368707,"District of Columbia"
"16",16,52.5200066,13.404954,"Berlin"
"17",17,33.4941704,-111.9260519,"Arizona"
"18",18,38.9517053,-92.3340724,"Missouri"
"19",19,30.3321838,-81.655651,"Florida"
"20",20,33.7489954,-84.3879824,"Georgia"
"21",21,38.3498195,-81.6326234,"West Virginia"
"22",22,53.9332706,-116.5765035,"Alberta"
"23",23,31.5455001,-110.2772856,"Arizona"
"24",24,25.7616798,-80.1917902,"Florida"
"25",25,44.0682019,-114.7420408,"Idaho"
"26",26,37.8271784,-122.2913078,"California"
"27",27,40.0583238,-74.4056612,"New Jersey"
"28",28,42.7653662,-71.467566,"New Hampshire"
"29",29,49.2805346,-123.0693453,"British Columbia"
"30",30,33.0198431,-96.6988856,"Texas"
"31",31,40.2731911,-76.8867008,"Pennsylvania"
"32",32,41.7870209,-88.1451519,"Illinois"
"33",33,31.7618778,-106.4850217,"Texas"
"34",34,40.9848784,-72.6151169,"New York"
"35",35,29.7604267,-95.3698028,"Texas"
"36",36,32.715738,-117.1610838,"California"
"37",37,42.5921924,-83.336188,"Michigan"
"38",38,38.8675607,-90.0886948,"Illinois"
"39",39,54.5259614,-105.2551187,"Saskatchewan"
"40",40,40.4233142,-104.7091322,"Colorado"
"41",41,35.732652,-78.8502856,"North Carolina"
"42",42,39.2903848,-76.6121893,"Maryland"
"43",43,-1.2920659,36.8219462,"Nairobi County"
"44",44,37.4792672,-82.5187629,"Kentucky"
"45",45,37.09024,-95.712891,"Kansas"
"46",46,43.6239524,-79.4909098,"Ontario"
"47",47,41.3148116,-96.195132,"Nebraska"
"48",48,41.0854972,-80.6572722,"Ohio"
"49",49,34.2367167,-77.9290869,"North Carolina"
"50",50,37.7750177,-122.4198136,"California"
"51",51,36.778261,-119.4179324,"California"
"52",52,39.0457549,-76.6412712,"Maryland"
"53",53,40.4847959,-78.0102813,"Pennsylvania"
"54",54,35.1495343,-90.0489801,"Tennessee"
"55",55,38.9906657,-77.026088,"Maryland"
"56",56,41.5800945,-71.4774291,"Rhode Island"
"57",57,34.9592083,-116.419389,"California"
"58",58,29.5692614,-95.8142885,"Texas"
"59",59,41.9750287,-88.0072909,"Illinois"
"60",60,38.9827163,-77.0930208,"Maryland"
"61",61,38.8813958,-94.8191285,"Kansas"
"62",62,32.9483335,-96.7298519,"Texas"
"63",63,29.3013479,-94.7976958,"Texas"
"64",64,43.0481221,-76.1474244,"New York"
"65",65,30.267153,-97.7430608,"Texas"
"66",66,-37.455799,175.1894045,"Waikato"
"67",67,53.7266683,-127.6476205,"British Columbia"
"68",68,33.7700504,-118.1937395,"California"
"69",69,34.2154913,-77.8824596,"North Carolina"
"70",70,42.2808256,-83.7430378,"Michigan"
"71",71,42.3764852,-71.2356113,"Massachusetts"
"72",72,53.296505,-3.083831,"England"
"73",73,40.4172871,-82.907123,"Ohio"
"74",74,41.7637111,-72.6850932,"Connecticut"
"75",75,36.1699412,-115.1398296,"Nevada"
"76",76,41.3973163,-73.6170721,"New York"
"77",77,41.2033216,-77.1945247,"Pennsylvania"
"78",78,35.9606384,-83.9207392,"Tennessee"
"79",79,35.8031909,-78.5660852,"North Carolina"
"80",80,39.0520169,-82.6365536,"Ohio"
"81",81,51.5073509,-0.1277583,"England"
"82",82,34.0522342,-118.2436849,"California"
"83",83,37.7478572,-84.2946539,"Kentucky"
"84",84,35.4675602,-97.5164276,"Oklahoma"
"85",85,38.9059849,-77.0334179,"District of Columbia"
"86",86,39.0839973,-77.1527578,"Maryland"
"87",87,43.0730517,-89.4012302,"Wisconsin"
"88",88,39.755543,-105.2210997,"Colorado"
"89",89,32.9342919,-97.0780654,"Texas"
"90",90,38.8120591,-77.6363806,"Virginia"
"91",91,35.20105,-91.8318334,"Arkansas"
"92",92,39.2461138,-94.4191177,"Missouri"
"93",93,38.8048355,-77.0469214,"Virginia"
"94",94,42.5481714,-71.1724467,"Massachusetts"
"95",95,4.210484,101.975766,"Pahang"
"96",96,42.9633599,-85.6680863,"Michigan"
"97",97,43.5445959,-96.7311034,"South Dakota"
"98",98,-22.9332067,-43.18473,"State of Rio de Janeiro"
"99",99,37.3279997,-119.6493154,"California"
"100",100,35.0886963,-92.4421011,"Arkansas"
"101",101,38.2526647,-85.7584557,"Kentucky"
"102",102,-34.4278121,150.8930607,"New South Wales"
"103",103,-27.4697707,153.0251235,"Queensland"
"104",104,56.130366,-106.346771,"Saskatchewan"
"105",105,42.3600825,-71.0588801,"Massachusetts"
"106",106,38.6270025,-90.1994042,"Missouri"
"107",107,50.8503463,4.3517211,"Brussels"
"108",108,44.3148443,-85.6023643,"Michigan"
"109",109,32.8406946,-83.6324022,"Georgia"
"110",110,-27.6728168,121.6283098,"Western Australia"
"111",111,41.8781136,-87.6297982,"Illinois"
"112",112,38.81144,-90.8529107,"Missouri"
"113",113,39.9525839,-75.1652215,"Pennsylvania"
"114",114,43.0389025,-87.9064736,"Wisconsin"
"115",115,33.4483771,-112.0740373,"Arizona"
"116",116,35.7595731,-79.0192997,"North Carolina"
"117",117,-37.8071283,144.9440905,"Victoria"
"118",118,-37.852151,145.1065547,"Victoria"
"119",119,-37.857145,145.2459064,"Victoria"
"120",120,-37.957151,145.1347223,"Victoria"
"121",121,-37.7928769,145.163785,"Victoria"
"122",122,-38.0369651,145.3074008,"Victoria"
"123",123,-37.8246497,145.2287675,"Victoria"
"124",124,-38.0911589,145.1303305,"Victoria"
"125",125,-37.8097558,145.1972331,"Victoria"
"126",NA,NA,NA,NA
"127",NA,33.9616801,-118.3531311,"California"
"128",NA,52.486243,-1.890401,"England"
"129",NA,42.0834335,-71.0183787,"Massachusetts"
"130",NA,38.882334,-77.1710914,"Virginia"
"131",NA,40.7263542,-73.9865533,"New York"
"132",NA,42.6334247,-71.3161718,"Massachusetts"
"133",NA,40.5687141,-74.7376619,"New Jersey"
"134",NA,36.1023715,-115.1745559,"Nevada"
"135",NA,39.8422093,-75.1969346,"New Jersey"
"136",NA,45.4312294,-122.7714861,"Oregon"
"137",NA,49.2827291,-123.1207375,"British Columbia"
"138",NA,39.9868904,-75.4007058,"Pennsylvania"
"139",NA,35.1406175,-90.0536592,"Tennessee"
"140",NA,40.4406248,-79.9958864,"Pennsylvania"
"141",NA,40.5795317,-74.1502007,"New York"
"142",NA,37.4315734,-78.6568942,"Virginia"
"143",NA,29.4241219,-98.4936282,"Texas"
"144",NA,59.3293235,18.0685808,NA
"145",NA,40.7762676,-73.977617,"New York"
"146",NA,22.543096,114.057865,NA
"147",NA,-38.1499181,144.3617186,"Victoria"
"148",NA,31.9685988,-99.9018131,"Texas"
"149",NA,50.4452112,-104.6188943,"Saskatchewan"
"150",NA,34.1140497,-83.9811014,"Georgia"
"151",NA,40.7127753,-74.0059728,"New York"
"152",NA,41.9852391,-70.9640988,"Massachusetts"
"153",NA,27.6648274,-81.5157535,"Florida"
"154",NA,39.0911161,-94.4155068,"Missouri"
"155",NA,42.9849233,-81.2452768,"Ontario"
"156",NA,47.7510741,-120.7401385,"Washington"
"157",NA,38.7222524,-9.1393366,NA
"158",NA,44.5588028,-72.5778415,NA
"159",NA,33.4273521,-117.6126004,"California"
"160",NA,39.5500507,-105.7820674,"Colorado"
"161",NA,38.3606736,-75.5993692,"Maryland"
"162",NA,39.768403,-86.158068,NA
"163",NA,44.977753,-93.2650108,"Minnesota"
"164",NA,47.6062095,-122.3320708,"Washington"
